# # R_end, VR_end, VT_end
4.218466508802572434e+01,8.860367826730553009e-02,9.457599470545021347e+01
4.218502715898424782e+01,4.521161521190641963e-02,9.457522820200385638e+01
4.218574121998054949e+01,-4.157260814588170650e-02,9.457371784058406661e+01
4.218609320988937128e+01,-8.496477275860725431e-02,9.457297398215847295e+01
4.218474876231461224e+01,7.772441128511109465e-02,9.457585417553097784e+01
4.218510999046041121e+01,3.433238266980720432e-02,9.457508956519616561e+01
4.218582236580061817e+01,-5.245177344153584276e-02,9.457358298980580003e+01
4.218617351286609818e+01,-9.584390531171549377e-02,9.457284102429782990e+01
4.218483222648646347e+01,6.684499493505691170e-02,9.457571411835164099e+01
4.218590330146129475e+01,-6.333108869513104366e-02,9.457344861179990403e+01
4.218491548053142992e+01,5.596542912855995144e-02,9.457557453392722380e+01
4.218563120517154630e+01,-3.081852458236333803e-02,9.457406043414154340e+01
4.218598402695003102e+01,-7.421055338004800550e-02,9.457331470658276373e+01
4.218463646455801097e+01,8.847760822772776645e-02,9.457620190174533548e+01
4.218499852443918030e+01,4.508571401375727206e-02,9.457543542227604405e+01
4.218571256335737019e+01,-4.169817218470317499e-02,9.457392510871795821e+01
4.218606454226220137e+01,-8.509016825435034015e-02,9.457318127417245535e+01
4.218472014117648428e+01,7.759770930628906438e-02,9.457606136966467147e+01
4.218508135820163574e+01,3.420584931078829438e-02,9.457529678341269630e+01
4.218579371137253275e+01,-5.257796982843176981e-02,9.457379025610104861e+01
4.218614484738596815e+01,-9.596993294274935860e-02,9.457304831458530714e+01
4.218480360765603621e+01,6.671766081815355687e-02,9.457592131037547745e+01
4.218587464919907148e+01,-6.345791690458124634e-02,9.457365587631615256e+01
4.218488686398304566e+01,5.583746300944492091e-02,9.457578172390070392e+01
4.218560256621925930e+01,-3.094615353589180717e-02,9.457426767269522827e+01
4.218595537683268049e+01,-7.433801390983207913e-02,9.457352196937672772e+01
4.218460786154889774e+01,8.834884141231569288e-02,9.457640906528311575e+01
4.218496991014951192e+01,4.495711553436143593e-02,9.457564261026068664e+01
4.218568392657200405e+01,-4.182643345343017849e-02,9.457413234549393621e+01
4.218603589426204792e+01,-8.521826068803584064e-02,9.457338853530123401e+01
4.218469154044654346e+01,7.746831045511770597e-02,9.457626853115411336e+01
4.218505274614365419e+01,3.407661893373159501e-02,9.457550396946065518e+01
4.218576507672482734e+01,-5.270686289019554938e-02,9.457399749116171961e+01
4.218611620147991914e+01,-9.609865759613200886e-02,9.457325557410565864e+01
