302 evaluations
Parameters
==========

NCORES: 10, 
TIMES: [  0. -10.] Gyr, 
N_ARMS: 2, 
PHI0: 75.0 deg, 
LIFETIME: 0.25 Gyr, 
SIGMA: 0.044642857142857144 Gyr, 
T0_1: -0.45 Gyr, 
T0_2: -0.225 Gyr, 
T0_3: 0.0 Gyr, 
AMP: 0.136 solMass / pc3, 
HSCALE: 1.0 kpc, 
RSCALE: 2.4 kpc, 
ALPHA: 12.0 deg, 
RREF: 8.0 kpc, 
OMEGA: 0.0 km / (kpc s), 
BETA: -0.1, 
RRANGE: 5, 15, 
PHIRANGE: -1.5707963267948966, 1.5707963267948966, 
DR: 1.0, 
DPHI: 1.0, 
VPARMS: 5, 5, 8, 8, 
SIGMAPARMS: 30, 20, 20, 
SCALEPARMS: 2, 9.8, 7.6, 
EVAL_THRESH: 0.0001, 
==========

R=5.5 kpc, phi=-1.5 rad, t=701 s
R=5.5 kpc, phi=-1.3 rad, t=673 s
R=5.5 kpc, phi=-1.1 rad, t=659 s
R=5.5 kpc, phi=-0.9 rad, t=669 s
R=5.5 kpc, phi=-0.7 rad, t=684 s
R=5.5 kpc, phi=-0.5 rad, t=707 s
R=5.5 kpc, phi=-0.3 rad, t=724 s
R=5.5 kpc, phi=-0.1 rad, t=720 s
R=5.5 kpc, phi=0.1 rad, t=761 s
R=5.5 kpc, phi=0.3 rad, t=763 s
R=5.5 kpc, phi=0.5 rad, t=753 s
R=5.5 kpc, phi=0.7 rad, t=727 s
R=5.5 kpc, phi=0.9 rad, t=684 s
R=5.5 kpc, phi=1.1 rad, t=679 s
R=5.5 kpc, phi=1.3 rad, t=668 s
R=5.5 kpc, phi=1.5 rad, t=663 s
R=6.5 kpc, phi=-1.5 rad, t=617 s
R=6.5 kpc, phi=-1.33 rad, t=606 s
R=6.5 kpc, phi=-1.17 rad, t=653 s
R=6.5 kpc, phi=-1.0 rad, t=543 s
R=6.5 kpc, phi=-0.83 rad, t=545 s
R=6.5 kpc, phi=-0.67 rad, t=520 s
R=6.5 kpc, phi=-0.5 rad, t=554 s
R=6.5 kpc, phi=-0.33 rad, t=613 s
R=6.5 kpc, phi=-0.17 rad, t=615 s
R=6.5 kpc, phi=0.0 rad, t=610 s
R=6.5 kpc, phi=0.17 rad, t=606 s
R=6.5 kpc, phi=0.33 rad, t=614 s
R=6.5 kpc, phi=0.5 rad, t=539 s
R=6.5 kpc, phi=0.67 rad, t=516 s
R=6.5 kpc, phi=0.83 rad, t=537 s
R=6.5 kpc, phi=1.0 rad, t=597 s
R=6.5 kpc, phi=1.17 rad, t=689 s
R=6.5 kpc, phi=1.33 rad, t=682 s
R=6.5 kpc, phi=1.5 rad, t=683 s
R=7.5 kpc, phi=-1.5 rad, t=610 s
R=7.5 kpc, phi=-1.36 rad, t=576 s
R=7.5 kpc, phi=-1.21 rad, t=591 s
R=7.5 kpc, phi=-1.07 rad, t=551 s
R=7.5 kpc, phi=-0.93 rad, t=540 s
R=7.5 kpc, phi=-0.79 rad, t=457 s
R=7.5 kpc, phi=-0.64 rad, t=544 s
R=7.5 kpc, phi=-0.5 rad, t=547 s
R=7.5 kpc, phi=-0.36 rad, t=516 s
R=7.5 kpc, phi=-0.21 rad, t=505 s
R=7.5 kpc, phi=-0.07 rad, t=505 s
R=7.5 kpc, phi=0.07 rad, t=525 s
R=7.5 kpc, phi=0.21 rad, t=513 s
R=7.5 kpc, phi=0.36 rad, t=502 s
R=7.5 kpc, phi=0.5 rad, t=516 s
R=7.5 kpc, phi=0.64 rad, t=529 s
R=7.5 kpc, phi=0.79 rad, t=433 s
R=7.5 kpc, phi=0.93 rad, t=505 s
R=7.5 kpc, phi=1.07 rad, t=535 s
R=7.5 kpc, phi=1.21 rad, t=533 s
R=7.5 kpc, phi=1.36 rad, t=534 s
R=7.5 kpc, phi=1.5 rad, t=545 s
R=8.5 kpc, phi=-1.56 rad, t=471 s
R=8.5 kpc, phi=-1.44 rad, t=474 s
R=8.5 kpc, phi=-1.31 rad, t=430 s
R=8.5 kpc, phi=-1.19 rad, t=402 s
R=8.5 kpc, phi=-1.06 rad, t=392 s
R=8.5 kpc, phi=-0.94 rad, t=433 s
R=8.5 kpc, phi=-0.81 rad, t=426 s
R=8.5 kpc, phi=-0.69 rad, t=437 s
R=8.5 kpc, phi=-0.56 rad, t=438 s
R=8.5 kpc, phi=-0.44 rad, t=439 s
R=8.5 kpc, phi=-0.31 rad, t=441 s
R=8.5 kpc, phi=-0.19 rad, t=447 s
R=8.5 kpc, phi=-0.06 rad, t=455 s
R=8.5 kpc, phi=0.06 rad, t=430 s
R=8.5 kpc, phi=0.19 rad, t=437 s
R=8.5 kpc, phi=0.31 rad, t=446 s
R=8.5 kpc, phi=0.44 rad, t=463 s
R=8.5 kpc, phi=0.56 rad, t=462 s
R=8.5 kpc, phi=0.69 rad, t=454 s
R=8.5 kpc, phi=0.81 rad, t=433 s
R=8.5 kpc, phi=0.94 rad, t=471 s
R=8.5 kpc, phi=1.06 rad, t=495 s
R=8.5 kpc, phi=1.19 rad, t=449 s
R=8.5 kpc, phi=1.31 rad, t=434 s
R=8.5 kpc, phi=1.44 rad, t=445 s
R=8.5 kpc, phi=1.56 rad, t=438 s
R=9.5 kpc, phi=-1.56 rad, t=374 s
R=9.5 kpc, phi=-1.44 rad, t=348 s
R=9.5 kpc, phi=-1.33 rad, t=384 s
R=9.5 kpc, phi=-1.22 rad, t=361 s
R=9.5 kpc, phi=-1.11 rad, t=349 s
R=9.5 kpc, phi=-1.0 rad, t=344 s
R=9.5 kpc, phi=-0.89 rad, t=348 s
R=9.5 kpc, phi=-0.78 rad, t=350 s
R=9.5 kpc, phi=-0.67 rad, t=341 s
R=9.5 kpc, phi=-0.56 rad, t=365 s
R=9.5 kpc, phi=-0.44 rad, t=365 s
