302 evaluations
Parameters
==========

NCORES: 12, 
TIMES: [  0. -10.] Gyr, 
N_ARMS: 2, 
PHI0: 75.0 deg, 
LIFETIME: [0.12 0.12 0.24 0.24] Gyr, 
SIGMA: 0.02142857142857143 Gyr, 
T0: -0.86 Gyr, 
AMP: 0.136 solMass / pc3, 
HSCALE: 1.0 kpc, 
RSCALE: 2.4 kpc, 
ALPHA: 12.0 deg, 
RREF: 8.0 kpc, 
OMEGA: 0.0 km / (kpc s), 
BETA: -0.1, 
RRANGE: 5, 15, 
PHIRANGE: -1.5707963267948966, 1.5707963267948966, 
DR: 1.0, 
DPHI: 1.0, 
VPARMS: 5, 5, 8, 8, 
SIGMAPARMS: 30, 20, 20, 
SCALEPARMS: 2, 9.8, 7.6, 
EVAL_THRESH: 0.0001, 
==========

R=5.5 kpc, phi=-1.5 rad, t=409 s
R=5.5 kpc, phi=-1.3 rad, t=472 s
R=5.5 kpc, phi=-1.1 rad, t=483 s
R=5.5 kpc, phi=-0.9 rad, t=470 s
R=5.5 kpc, phi=-0.7 rad, t=478 s
R=5.5 kpc, phi=-0.5 rad, t=474 s
R=5.5 kpc, phi=-0.3 rad, t=456 s
R=5.5 kpc, phi=-0.1 rad, t=445 s
R=5.5 kpc, phi=0.1 rad, t=369 s
R=5.5 kpc, phi=0.3 rad, t=410 s
R=5.5 kpc, phi=0.5 rad, t=346 s
R=5.5 kpc, phi=0.7 rad, t=403 s
R=5.5 kpc, phi=0.9 rad, t=406 s
R=5.5 kpc, phi=1.1 rad, t=404 s
R=5.5 kpc, phi=1.3 rad, t=401 s
R=5.5 kpc, phi=1.5 rad, t=413 s
R=6.5 kpc, phi=-1.5 rad, t=393 s
R=6.5 kpc, phi=-1.33 rad, t=396 s
R=6.5 kpc, phi=-1.17 rad, t=393 s
R=6.5 kpc, phi=-1.0 rad, t=324 s
R=6.5 kpc, phi=-0.83 rad, t=321 s
R=6.5 kpc, phi=-0.67 rad, t=317 s
R=6.5 kpc, phi=-0.5 rad, t=325 s
R=6.5 kpc, phi=-0.33 rad, t=378 s
R=6.5 kpc, phi=-0.17 rad, t=378 s
R=6.5 kpc, phi=0.0 rad, t=377 s
R=6.5 kpc, phi=0.17 rad, t=406 s
R=6.5 kpc, phi=0.33 rad, t=461 s
R=6.5 kpc, phi=0.5 rad, t=396 s
R=6.5 kpc, phi=0.67 rad, t=389 s
R=6.5 kpc, phi=0.83 rad, t=389 s
R=6.5 kpc, phi=1.0 rad, t=387 s
R=6.5 kpc, phi=1.17 rad, t=453 s
R=6.5 kpc, phi=1.33 rad, t=444 s
R=6.5 kpc, phi=1.5 rad, t=415 s
R=7.5 kpc, phi=-1.5 rad, t=336 s
R=7.5 kpc, phi=-1.36 rad, t=329 s
R=7.5 kpc, phi=-1.21 rad, t=328 s
R=7.5 kpc, phi=-1.07 rad, t=330 s
R=7.5 kpc, phi=-0.93 rad, t=314 s
R=7.5 kpc, phi=-0.79 rad, t=266 s
R=7.5 kpc, phi=-0.64 rad, t=315 s
R=7.5 kpc, phi=-0.5 rad, t=324 s
R=7.5 kpc, phi=-0.36 rad, t=326 s
R=7.5 kpc, phi=-0.21 rad, t=321 s
R=7.5 kpc, phi=-0.07 rad, t=322 s
R=7.5 kpc, phi=0.07 rad, t=322 s
R=7.5 kpc, phi=0.21 rad, t=328 s
R=7.5 kpc, phi=0.36 rad, t=322 s
R=7.5 kpc, phi=0.5 rad, t=322 s
R=7.5 kpc, phi=0.64 rad, t=308 s
R=7.5 kpc, phi=0.79 rad, t=255 s
R=7.5 kpc, phi=0.93 rad, t=315 s
R=7.5 kpc, phi=1.07 rad, t=372 s
R=7.5 kpc, phi=1.21 rad, t=380 s
R=7.5 kpc, phi=1.36 rad, t=379 s
R=7.5 kpc, phi=1.5 rad, t=375 s
R=8.5 kpc, phi=-1.56 rad, t=306 s
R=8.5 kpc, phi=-1.44 rad, t=307 s
R=8.5 kpc, phi=-1.31 rad, t=301 s
R=8.5 kpc, phi=-1.19 rad, t=294 s
R=8.5 kpc, phi=-1.06 rad, t=293 s
R=8.5 kpc, phi=-0.94 rad, t=283 s
R=8.5 kpc, phi=-0.81 rad, t=277 s
R=8.5 kpc, phi=-0.69 rad, t=267 s
R=8.5 kpc, phi=-0.56 rad, t=267 s
R=8.5 kpc, phi=-0.44 rad, t=263 s
R=8.5 kpc, phi=-0.31 rad, t=268 s
R=8.5 kpc, phi=-0.19 rad, t=263 s
R=8.5 kpc, phi=-0.06 rad, t=263 s
R=8.5 kpc, phi=0.06 rad, t=263 s
R=8.5 kpc, phi=0.19 rad, t=263 s
R=8.5 kpc, phi=0.31 rad, t=263 s
R=8.5 kpc, phi=0.44 rad, t=262 s
R=8.5 kpc, phi=0.56 rad, t=262 s
R=8.5 kpc, phi=0.69 rad, t=263 s
R=8.5 kpc, phi=0.81 rad, t=263 s
R=8.5 kpc, phi=0.94 rad, t=265 s
R=8.5 kpc, phi=1.06 rad, t=299 s
R=8.5 kpc, phi=1.19 rad, t=313 s
R=8.5 kpc, phi=1.31 rad, t=304 s
R=8.5 kpc, phi=1.44 rad, t=307 s
R=8.5 kpc, phi=1.56 rad, t=308 s
R=9.5 kpc, phi=-1.56 rad, t=258 s
R=9.5 kpc, phi=-1.44 rad, t=261 s
R=9.5 kpc, phi=-1.33 rad, t=254 s
R=9.5 kpc, phi=-1.22 rad, t=255 s
R=9.5 kpc, phi=-1.11 rad, t=243 s
R=9.5 kpc, phi=-1.0 rad, t=245 s
R=9.5 kpc, phi=-0.89 rad, t=241 s
R=9.5 kpc, phi=-0.78 rad, t=232 s
R=9.5 kpc, phi=-0.67 rad, t=234 s
R=9.5 kpc, phi=-0.56 rad, t=221 s
R=9.5 kpc, phi=-0.44 rad, t=220 s
R=9.5 kpc, phi=-0.33 rad, t=219 s
